msisdn,event_time,cell_id
F17E496EA9B8BFEECEDAFC856FFCF2D3,2019-01-02 18:54:49,23467
B1D80318E7051E9862FD1D5BD165F910,2019-01-02 20:40:28,05242
39E78689FF1AD510BC14420ABBDA73C1,2019-01-02 15:41:49,50666
1040799F32B2363B0D6D61B22EBD3D9D,2019-01-02 20:52:36,08888
AB96649E8E31F9F81D01E60D58B92C77,2019-01-02 08:51:36,53324
D3771F567E56DD0D97327EB7F44D465D,2019-01-02 03:56:19,99704
00EE2CD966C4569DEC80DDBEDDE54402,2019-01-02 02:07:11,67074
CE1B819654302B17DCCB3AFCD9ECD9E2,2019-01-02 01:58:21,70263
C4E60DE2B9F9673CCD2941D79EE6D61F,2019-01-02 16:43:59,20422
99B5CEC134864CBBA5F2352598FAA6BF,2019-01-02 19:26:19,78891
04F7443A4229E9361D65BE90BB50F852,2019-01-02 07:11:19,48637
2D465A0427F9C93CF18E81A53DB707E8,2019-01-02 00:06:02,16673
829387C48CC43DAE6E9FA22926258D66,2019-01-02 12:12:34,84102
CB8BE063F0B0054F77AECAA2B6C7300A,2019-01-02 07:32:44,07927
5B50205F9BB41BD11F01FD99ACAB7DD2,2019-01-02 07:49:33,48967
D8C88D3D254E8F63C7E92DBFF4E7BB6D,2019-01-02 15:19:21,95852
7B5A2773DA1F3D3662B7084A97B72BCC,2019-01-02 09:25:11,73284
DF86DED393715222337038F16D44ADF7,2019-01-02 22:54:04,16404
45251EA5C4B66A90801B7CC0A5E39264,2019-01-02 03:52:05,05739
CB9DCB3E59C780D64A483D378A392FF0,2019-01-02 19:54:23,56782
828904FF1A4C02B3FC1E46E50ABDC583,2019-01-02 19:17:44,74622
25C179E87E7EC6999964A0FCAB30AB57,2019-01-02 10:03:24,54348
0C61AB90AE5BAA96B23315A8383793AB,2019-01-02 22:09:34,37588
895DE22DE94E2B42A2C50F1D65179793,2019-01-02 23:27:47,57915
759F10A148CB8F5238FE6E289BD78B80,2019-01-02 21:14:30,28654
84E3F60512BBF3BEEAD455B70AEDDAFA,2019-01-02 11:19:29,15715
E0CDEFB3B28E6F28C06A72524D334907,2019-01-02 01:13:16,40784
6C0E5EFF7AE77CB87D67F1F610DF50FB,2019-01-02 03:26:47,56687
1CFB31786016EDB206899B0D2D73D3BC,2019-01-02 01:07:33,84086
4C0B77AFE126BBE0DD5C6C704BD0115B,2019-01-02 01:30:27,00772
BCC2E709A7757F6E8D7350FC624159D8,2019-01-02 15:54:29,33139
CDEAE567E3E2A0D709FB92BFDE285ABC,2019-01-02 19:40:03,99079
C7E5F9713BC6681EB62964A08AA098D1,2019-01-02 05:38:10,78509
17AA014EF9E367F5CD6A332C107E9782,2019-01-02 22:14:26,27856
88BD704DC24782AB3DB45F608A124253,2019-01-02 08:50:48,23261
274892902B04546430F0E63D8B62360D,2019-01-02 22:43:11,37553
51F1A156BCEA32195EA671927AE89631,2019-01-02 20:07:35,26730
06093006162364C5E5484561A248C248,2019-01-02 22:49:31,84444
7159B692C7D12C3B22DE514B5985045F,2019-01-02 04:25:10,32908
DF9B6B0738048BE03143D1550E6B92B6,2019-01-02 13:29:02,99861
C7BBD3CF4C4CD5C2D8A32009B5337CFE,2019-01-02 11:34:50,90246
97DCF2B755CBA48A2DC3B269BDCEBADC,2019-01-02 23:18:28,83602
334BBD10AB2C411BC1B63665EF0B1E76,2019-01-02 02:34:16,69574
F755247F5F15F0BF5183554F57E0D6FC,2019-01-02 05:27:26,39283
3F398E8882D62292E47B0B22866BFBC0,2019-01-02 03:49:02,19327
BF1585DBDBF94E8DFBFD4E83CBD73FA8,2019-01-02 05:32:59,69975
C90C523181883F917E4441251C697815,2019-01-02 15:33:36,35610
0740617DC9AFB18E89D0797A40209B71,2019-01-02 05:29:43,15465
7E174063E13645B8FF736A3E3AC6753F,2019-01-02 08:58:05,17964
6F6C6A02F50AD2980F358D6BF9EEFF74,2019-01-02 03:34:13,80498
E88DFDE84025DA3134E3ED6637EB2989,2019-01-02 10:18:52,95934
3C0894D445E67644CA28FB137DEE304B,2019-01-02 19:11:21,82675
4BA6BD77F7DCB076EB09D08D2BCC7FA9,2019-01-02 11:08:36,85572
3F1A281F064ED53D6309272B4525A6EC,2019-01-02 01:45:47,20051
8604A360C791A91A39DCFDA9BA88145C,2019-01-02 08:51:02,94627
A70BFB6AD6DB9F741A3AA397303565C0,2019-01-02 06:36:38,18116
79F7A7DE1D81EF184AB13D00C93DCF66,2019-01-02 23:11:57,67207
7AB697B518B241264D506A11A8E8C3A6,2019-01-02 07:48:48,77125
8BA2BA83D77805CA93F50132B76400AC,2019-01-02 23:55:17,54753
ECF37DC1F8A94A2C7F5FFA388580CB2D,2019-01-02 18:44:03,45440
CA061FC52EF31854C62FD6884960818E,2019-01-02 07:45:45,17171
E0231579F02B9C7275AE1F22354FB92B,2019-01-02 02:10:34,15890
6168A1C0734E1E99AABAD2E8A806EE6E,2019-01-02 08:53:13,49465
EA73976D0D5EC531A8A49ABC5BFF5E2D,2019-01-02 08:42:50,68611
7131F17B122A23249EA156A65F8C0F94,2019-01-02 02:23:35,83473
A75EC05D0DD8FADF25AF7A1D68631F8E,2019-01-02 01:41:21,38212
E1AE72E0BF94F8E37D87BC5C414CBF31,2019-01-02 17:46:03,14638
C65EA2858614D8B5FE85667D968A6880,2019-01-02 18:15:26,19703
0056AA70ABA267A318B06DF243F3D937,2019-01-02 14:56:47,91531
CF342FD0102A5E0185748ADF00079F9B,2019-01-02 12:08:31,51341
A0A80BE17EDB846B36846640955A0F2E,2019-01-02 03:40:00,84833
0DC45BEAE58DB70E956AD78A7F20899C,2019-01-02 05:43:36,40696
4F71AE032ABE478BEE7C51748A79FB73,2019-01-02 23:51:50,55912
DCF9C4A008DA10D8A3D59C2355D40D7F,2019-01-02 02:54:32,79437
BCEF9A2AC826CFA28CBFBAA6E2770FD7,2019-01-02 22:25:32,26617
FC0E228C566CFFB1E6E1CBB068054EB1,2019-01-02 03:27:32,86722
0179EA59FC797E577B200EC93704375A,2019-01-02 20:27:46,74821
96DC01CDD98BC2819C0CFF1FCAD1AE13,2019-01-02 18:15:55,70819
20039B774425476D5E567065B8C2BE7D,2019-01-02 20:51:13,75288
623114F3ED0F01D968C7F456C3001264,2019-01-02 13:41:01,02102
